year,yearcode,countryname,countrycode,co2_gasfuel_kt,co2_liquidfuel_kt
2010,YR2010,Afghanistan,AFG,271.358,5870.867
2010,YR2010,Albania,ALB,25.669,3494.651
2010,YR2010,Algeria,DZA,53409.855,45401.127
2010,YR2010,American Samoa,ASM,,
2010,YR2010,Andorra,AND,0,517.047
2010,YR2010,Angola,AGO,1371.458,13380.883
2010,YR2010,Antigua and Barbuda,ATG,0,524.381
2010,YR2010,Argentina,ARG,86999.575,90219.201
2010,YR2010,Armenia,ARM,2955.602,1008.425
2010,YR2010,Aruba,ABW,0,2508.228
2010,YR2010,Australia,AUS,65136.921,114806.436
2010,YR2010,Austria,AUT,18602.691,33795.072
2010,YR2010,Azerbaijan,AZE,17982.968,8701.791
2010,YR2010,"Bahamas, The",BHS,0,2383.55
2010,YR2010,Bahrain,BHR,24554.232,4118.041
2010,YR2010,Bangladesh,BGD,39431.251,10850.653
2010,YR2010,Barbados,BRB,29.336,1331.121
2010,YR2010,Belarus,BLR,41569.112,16941.54
2010,YR2010,Belgium,BEL,38353.153,54979.331
2010,YR2010,Belize,BLZ,11.001,524.381
2010,YR2010,Benin,BEN,0,4440.737
2010,YR2010,Bermuda,BMU,0,608.722
2010,YR2010,Bhutan,BTN,0,311.695
2010,YR2010,Bolivia,BOL,5727.854,7876.716
2010,YR2010,Bosnia and Herzegovina,BIH,458.375,4462.739
2010,YR2010,Botswana,BWA,0,2445.889
2010,YR2010,Brazil,BRA,52702.124,273884.563
2010,YR2010,British Virgin Islands,VGB,0,198.018
2010,YR2010,Brunei Darussalam,BRN,6131.224,1591.478
2010,YR2010,Bulgaria,BGR,5269.479,11155.014
2010,YR2010,Burkina Faso,BFA,0,1811.498
2010,YR2010,Burundi,BDI,0,293.36
2010,YR2010,Cabo Verde,CPV,0,557.384
2010,YR2010,Cambodia,KHM,0,4682.759
2010,YR2010,Cameroon,CMR,594.054,5687.517
2010,YR2010,Canada,CAN,180251.385,250892.473
2010,YR2010,Cayman Islands,CYM,0,557.384
2010,YR2010,Central African Republic,CAF,0,264.024
2010,YR2010,Chad,TCD,0,997.424
2010,YR2010,Channel Islands,CHI,,
2010,YR2010,Chile,CHL,10234.597,43494.287
2010,YR2010,China,CHN,199748.824,1093466.397
2010,YR2010,Colombia,COL,22005.667,35727.581
2010,YR2010,Comoros,COM,0,161.348
2010,YR2010,"Congo, Dem. Rep.",COD,44.004,1727.157
2010,YR2010,"Congo, Rep.",COG,194.351,1738.158
2010,YR2010,Costa Rica,CRI,0,6703.276
2010,YR2010,Cote d'Ivoire,CIV,3039.943,3028.942
2010,YR2010,Croatia,HRV,6028.548,10322.605
2010,YR2010,Cuba,CUB,2060.854,31158.499
2010,YR2010,Curacao,CUW,,
2010,YR2010,Cyprus,CYP,0,6970.967
2010,YR2010,Czechia,CZE,18481.68,19893.475
2010,YR2010,Denmark,DNK,10128.254,20205.17
2010,YR2010,Djibouti,DJI,0,517.047
2010,YR2010,Dominica,DMA,0,172.349
2010,YR2010,Dominican Republic,DOM,1496.136,15628.754
2010,YR2010,Ecuador,ECU,1455.799,31231.839
2010,YR2010,"Egypt, Arab Rep.",EGY,82016.122,94333.575
2010,YR2010,El Salvador,SLV,0,5815.862
2010,YR2010,Equatorial Guinea,GNQ,4609.419,1250.447
2010,YR2010,Eritrea,ERI,0,480.377
2010,YR2010,Estonia,EST,1287.117,1386.126
